video_id,video_comment,video_comment_final,ratio,rank_vc,rank_vf,cutoff_rank
5XGwsCz62pc,123,0,0.000000,1623,925,1656
5_8RCLkipbk,551,0,0.000000,965,926,1656
5f8ZYtaBRx0,450,0,0.000000,1064,927,1656
62iT888LUQk,402,0,0.000000,1121,931,1656
67i6UhQ_jJI,1967,0,0.000000,397,932,1656
68-1VrRM4p8,2755,0,0.000000,296,933,1656
695ZYe00UFg,224,0,0.000000,1387,934,1656
6AsCaSc27-Y,209,0,0.000000,1414,935,1656
6CvrWCeWUXk,137,0,0.000000,1586,936,1656
6GcHuH6TXmc,771,0,0.000000,815,937,1656
6H2Ri4vJZNE,495,0,0.000000,1023,938,1656
6I5Xg7gz2CM,1440,0,0.000000,514,939,1656
6PcFXzuCMy4,1966,0,0.000000,398,941,1656
6UxJmNfffHs,14926,0,0.000000,41,942,1656
6XQDNsIWE1U,448,0,0.000000,1067,944,1656
6XsjZiFthTM,121,0,0.000000,1628,945,1656
6e_YrExMSgw,802,0,0.000000,788,946,1656
6gGGkzgeLdA,1147,0,0.000000,614,947,1656
6hKvuxBAucg,753,0,0.000000,821,948,1656
6p_acerDKKI,337,0,0.000000,1209,949,1656
6vEHupXVHRA,989,0,0.000000,689,950,1656
6y7gQM4c4aE,367,0,0.000000,1168,951,1656
6zRbD_vJpug,187,0,0.000000,1458,952,1656
7-b6KrRhm40,196,0,0.000000,1443,953,1656
74GsYZV8IR8,162,0,0.000000,1519,954,1656
7EduOiG7iII,199,0,0.000000,1434,955,1656
7GzbvK3vNUE,1116,0,0.000000,631,956,1656
7IGQILU__4g,185,0,0.000000,1464,957,1656
7NAa1EDoqHU,175,0,0.000000,1486,958,1656
7RNH4tJjmSQ,201,0,0.000000,1426,960,1656
7RpoWDeEX8U,508,0,0.000000,1007,961,1656
7XYWoq40fLE,2194,0,0.000000,361,963,1656
7Xb3mxXhzLA,347,0,0.000000,1190,964,1656
7Z4FqfnPhTI,852,0,0.000000,764,965,1656
7_HLva4_CoE,200,0,0.000000,1429,966,1656
7blMLmjNBak,250,0,0.000000,1342,967,1656
7ft3RIaAh3c,1414,0,0.000000,520,968,1656
7jLXhA7wQv8,255,0,0.000000,1327,969,1656
7rbkHEO9JW8,202,0,0.000000,1423,970,1656
7yBsu2uiuu4,215,0,0.000000,1399,972,1656
83Rjg2hMVLE,177,0,0.000000,1481,973,1656
84HfQVPSaYo,642,0,0.000000,890,974,1656
86JxfmQryZQ,1951,0,0.000000,401,976,1656
88Ryy76kmxk,362,0,0.000000,1174,977,1656
89q--U0RfAE,559,0,0.000000,959,978,1656
8DbSuYdwaaY,179,0,0.000000,1476,979,1656
8S4X83fGd4I,264,0,0.000000,1316,984,1656
8Sw27lU3fA4,143,0,0.000000,1568,985,1656
8XAeLiSARNU,179,0,0.000000,1477,986,1656
8Y72tVwihh8,200,0,0.000000,1430,988,1656
