video_id,video_comment,video_comment_final
LY0Ll7LRYDI,5337,2
LZ0tOR1kvZw,37,0
LeKOb1_-13I,2683,1
Lf2HxzeZAbs,332,0
LidgP2ZL4Mk,23,0
LmC5qGs-mSc,326,0
LmkKew96-ZQ,45,0
LnQ6FBVMfPk,70,0
Lo0rzLFuUbw,294,0
Lp640JUPC4A,1380,0
Lr4FSwSRuNU,983,117
Ls0_b1iSLWo,1287,0
Lv2ehiy6M24,1459,47
LwhXGQqgE1s,1628,0
Lyn10sq6PIQ,245,0
M-Oty0Jwrfk,19,0
M-s_b9VjyWg,826,0
M7Ra95j-Qsg,124,5
M81Y2WZ7Eks,119,0
M8B3mriYut0,10,0
M8f_bODYpWM,1369,0
MBF1R8TvNLI,74,0
MBT6hPXmJTw,2199,0
MDSas9sqbsc,440,3
MJBfcMZ_s6I,412,25
MJOAuxQfbLo,586,0
MJVK5uwNKjg,200,0
MPmYt3p6VcI,2625,0
MQN9TCsrJGA,120,1
MRdjrTuVkaI,143,0
MTePIcoeZD8,72,1
MUYOcTZI2LI,335,0
MUui_V88zyg,267,26
MWAbLRgDrcc,953,0
MXOIwaz8tO0,2658,0
MYEqh26FR14,2477,22
MYFFe08ykcE,80,0
MbcPCSkIEb4,2802,7
Mf6EWX4ALJs,5779,158
Mkt5xG_BhKU,917,1
MlnRO2FwojA,3531,6
MoH7iUKjMGU,97,0
Mrju-UXhNZ8,689,0
MtlA0wPm8Vw,489,3
MwW-fKMNAoQ,365,2
MyLfCOOYzfY,4153,9
N5-TzhRgYaA,7,0
N7T6sTZTVNQ,218,0
N7bZnK5mAFw,126,0
N8cSsKNZKzg,533,0
N8velTiWszQ,227,0
N9s-skojKqw,1265,1
NACSooVvSbo,803,0
NAo5COYVFig,1630,1
NBMy2w7To-Q,400,2
NBc2HxEK1uI,46,0
NFcFN3M6PyE,282,0
NGTtl3jyx34,1368,1
NHT23mMhsuk,61,1
NKc9sIIKdyY,203,0
NPb55ZQquUc,511,0
NR-yDEocnxI,6800,27
NXTDar8ujXM,1095,3
NZ2NMWURxfw,235,0
NaGBylWzC-0,844,0
Nbp93_Tz50A,3734,57
NbsfS253LCc,1383,0
Nd7nRljkC-U,2265,2
Nln3rfHjvSY,314,0
NoY3XnvKP7Q,3,0
NqQ_z5Os3sU,1083,0
NrfmSeGah1Y,4965,195
Nx-suJ5LfDA,3474,1
Ny9knUMdznk,560,0
O-pgfAE5tWc,3174,47
O2P9eVV3sws,59,4
O3CMKm706Kk,38,0
O3d5JQzWnq4,437,7
O4jdx0CzVZg,632,0
O6J53DIXjIQ,196,0
OAkbor3fB7o,114,0
OBBga9QZUeo,42,0
ODk2oXxvfnI,248,0
OG3YQ-UL1W4,3628,123
OGG5Q2Vj4Ms,2913,199
OHcVG8RrIM8,2671,0
OHmtS0CErV0,231,0
OJ8iIxSxvAk,401,6
ONnkfzFeMjE,93,0
OQpYuewP_B0,484,0
ORifjxPzkig,100,0
OX5B-kHZGgk,7815,69
OXChhdh5W_o,89,0
