video_id,video_comment,video_comment_transformer
FcMF02oc-Cw,1473,2
FcdFASrJxug,5,0
FiDU3CUyqT4,2022,0
FkwMiqm6um0,46,0
FmMmHqDdzdw,1281,99
FoIlgpP0sSE,612,0
FoVud3zWeDk,616,0
FpYPmkfynIo,1028,0
FrcXox0sj2A,726,0
Fsa3FNYhHMU,11,0
Fti19Zk7xho,4,0
FyXXY8byfec,3326,8
G-S-mjXKkCc,39,0
G01D3sv8qXU,997,0
G48bCFHbc58,10800,0
G4mwgg3veu8,1645,0
G5kHmGCftjo,37,0
G9l5AO1D4To,12899,0
GCTSrtF_3g0,79,0
GCi27WGhdgM,79,0
GDw9_kIEDaY,1798,27
GGNHP1-yv4Q,534,31
GII0hr8fyZY,246,2
GIX_NtjdYaM,3,0
GL5XWUpYnEs,123,0
GPB1-DT3b0Q,364,19
GPSvy64fdzU,458,0
GTxkmTipXLc,117,0
GUhLwYbN1ZA,733,0
GWgiA1PFnDM,83,0
GZaaUiqSkwI,2065,0
G_li-ZsZ-Dk,395,0
GdW2bKNNl1c,105,0
GfBzPjQu-MI,105,0
GfmrRqkLvEA,396,0
GhkNVuet9UE,100,0
Ghq2m-C_bqM,145,0
GkB3IxcZFKA,2705,0
GkbZSb7HLGo,710,0
GoJziuipjAU,62,1
GqmQ7_ynreI,229,0
Gsp7pFZcTxw,33,0
H7oUO-My1vg,11957,41
H7y3wjhoAlM,101,0
H9a3ix08uYA,582,7
HASdrvZYSwI,606,0
HD8OJ_uUPrA,513,0
HEpzPHkq1o0,62,0
HGLLkwiblag,1755,1
HGghB1kvRUk,1683,0
HHAFZH7Bn-U,120,0
HRZ3ntVGMsY,506,1
HRhBqZLaF0s,53,0
HThlG14AKns,492,0
HU-IFmXqoUo,1240,0
HU4O9HOfZYc,2637,0
HXNbegvRNvg,12078,385
HarTn81wQNg,435,0
Hj_paijhdUQ,100,0
HjjN6_ZEm6I,657,0
HnZn8muOnZw,2953,2
HoujXZPtMx0,4,0
HqeRgPQkkZQ,184,1
HrBxgqNfxnI,2416,0
HsIqUcZkc4k,931,0
Ht9yXuDvA1M,474,0
Htp9Elx6mBo,251,15
Htv3-nfz78U,1112,1
Hxvn7HmUJm0,173,0
HyQni0QOISM,124,0
I1QgOOM_vs0,2331,0
I4r0r9_twIo,1532,67
I5OiZDMQpDg,540,0
I6S6KLwlED8,44,0
I6mcMPoOvo8,560,0
I8_W9Lz0VcM,359,0
I9GJve3M164,3026,0
IFQ6vxYNAKQ,5,0
ILguTznukyE,847,0
IO5VdhlNfrI,653,0
IPoX9QcIBcI,11247,378
IR7BIGeqHaI,3350,0
ISvn0UD987M,1121,0
IVHJxNAPc3Y,2116,0
IY7V8fEYFP0,3560,0
IYJhF9coLX4,79,0
IdRhqSiHNDg,10,0
IewhVY9cAmQ,3,0
If77QwcUkNE,15,0
IgZQKPyfADk,3514,0
IifhZbUqyPM,138,0
IpT7J2DdTK0,238,0
IqgGNvstkEo,1079,0
IzN5bjH4uIc,4056,148
IzoegpP0PSw,1046,0
J0uygT_rd2I,81,0
J1t25cgk3No,477,0
J3VcZ3nsQDw,27,0
J4wNwyzbbW8,67,0
J5Efezauri4,329,0
J5I00p3KqvE,5468,0
J6hBgqRbTc4,60,0
J7baXzIVmyc,318,0
J7j2e3syH8k,528,0
J7xvMuW1Yuw,589,0
J98fNAePpvk,227,0
J9ANw0WXiDE,923,0
JC3I_tyMLf8,126,0
JEn4EFNKi4o,1280,4
JFV5Eqs6fjc,23,0
JGbc9TYf2uo,1,0
JHPA3MVxABQ,643,0
JQwS_6i_xck,94,0
JRHgjyk5DO8,52,0
JRKGOZPLmZQ,202,1
JUFWMlX92uc,809,0
JUNsMqN6bb0,1334,0
JUO0WbUuXHY,198,0
JUd6IFnEoFg,23,0
JV8-B23ZkIc,51,0
JXWpqEz8UYM,62,0
JZbu3AZ5anY,11064,0
JbePIzLoilo,1850,0
JcQNKYFoYpc,6466,0
JeAqM1ymJTk,121,0
JgEH0tAc5bA,317,0
JiZUGoG4z6s,1887,0
JllWjYkUhZA,105,0
Jm8HPBqQYsE,1519,216
JmNUM7rtoe8,1648,2
JoeGleUS4yw,4744,0
JvKn07DCktY,23097,0
JxmjZ-BgGWg,4354,0
JzFtgxiL9Kw,177,0
JzeMCJ2bCO4,935,0
K45Z9klesUY,2,0
KC9TmTus1Cc,1629,0
KDluQ0YVcFw,536,0
KEd8eFHiIa8,5,0
KGE_hSZTm6k,549,0
KI35yj2nErY,1042,0
KJ6c5yfyVGU,15,0
KJR9MfRFFjw,273,0
KKxkQzf9kjg,7,0
KLA0huuV7ho,4431,0
KO7gPHuXjsk,852,0
KPQkb2AuXSw,20223,0
KY2fn0f0bvI,69,0
KYBPVgADsSM,997,0
Kh7FfWTUmP0,305,0
KhixJPwjoHM,182,0
KiIc54yyktw,4081,83
KjylNGo1its,322,0
Klim5qgKmac,12033,2
Kmlq6tco974,1416,0
KmvunH382Ro,17,0
Knljg5f_nGo,261,0
KqqnqqtSHyU,524,0
KtRyftCARrY,909,0
KvJ6FVr7E7s,1356,1
L-d1taEcDYc,187,0
L44aiNl82xY,1992,140
L46ezMsD3dk,193,0
L4s5-pXI6D4,374,0
L5-z_wGFthc,444,15
L5ihmu87xTE,10950,149
LCp6b12bRW0,31,0
LDGy1whwor8,32,0
LFlyELZqdGI,100,0
LGdM9mv65fU,46,0
LIIyCYY2GKQ,949,0
LIkcJGvqOKA,4322,2
LJ1RLRArX_g,634,0
LJFUSgxAi9I,630,0
LLcalJBY6PE,578,0
LPIV7QtBTHE,2077,0
LPYkbEfxq-8,85,0
LSUuQfQDXwM,447,0
LTjmeJmRZsI,516,39
LUeLQVee7TU,24,0
LW7Br5RC9Cw,215,0
LX4UWfxD9cA,353,1
LY0Ll7LRYDI,5337,0
LZ0tOR1kvZw,37,0
LeKOb1_-13I,2683,0
Lf2HxzeZAbs,332,0
LidgP2ZL4Mk,23,0
LmC5qGs-mSc,326,0
LmkKew96-ZQ,45,0
LnQ6FBVMfPk,70,0
Lo0rzLFuUbw,294,0
Lp640JUPC4A,1380,0
Lr4FSwSRuNU,983,117
Ls0_b1iSLWo,1287,0
Lv2ehiy6M24,1459,39
LwhXGQqgE1s,1628,0
Lyn10sq6PIQ,245,0
M-Oty0Jwrfk,19,0
M-s_b9VjyWg,826,0
M7Ra95j-Qsg,124,3
M81Y2WZ7Eks,119,0
M8B3mriYut0,10,0
MBF1R8TvNLI,74,0
MBT6hPXmJTw,2199,0
MDSas9sqbsc,440,8
MJBfcMZ_s6I,412,0
MJOAuxQfbLo,586,0
MJVK5uwNKjg,200,0
MPmYt3p6VcI,2625,0
MQN9TCsrJGA,120,1
MRdjrTuVkaI,143,0
MTePIcoeZD8,72,0
MUYOcTZI2LI,335,0
MUui_V88zyg,267,42
MWAbLRgDrcc,953,0
MXOIwaz8tO0,2658,0
MYEqh26FR14,2477,0
MYFFe08ykcE,80,0
MbcPCSkIEb4,2802,0
Mf6EWX4ALJs,5779,116
Mkt5xG_BhKU,917,0
MoH7iUKjMGU,97,0
Mrju-UXhNZ8,689,0
MtlA0wPm8Vw,489,0
MwW-fKMNAoQ,365,3
MyLfCOOYzfY,4153,12
N5-TzhRgYaA,7,0
N7T6sTZTVNQ,218,0
N7bZnK5mAFw,126,0
N8cSsKNZKzg,533,0
N8velTiWszQ,227,0
N9s-skojKqw,1265,0
NACSooVvSbo,803,0
NAo5COYVFig,1630,3
NBMy2w7To-Q,400,2
NBc2HxEK1uI,46,0
NFcFN3M6PyE,282,0
NGTtl3jyx34,1368,0
NHT23mMhsuk,61,0
NKc9sIIKdyY,203,0
NPb55ZQquUc,511,0
NR-yDEocnxI,6800,0
NXTDar8ujXM,1095,1
NaGBylWzC-0,844,0
NbsfS253LCc,1383,0
Nd7nRljkC-U,2265,0
Nln3rfHjvSY,314,1
NoY3XnvKP7Q,3,0
NqQ_z5Os3sU,1083,0
NrfmSeGah1Y,4965,0
Nx-suJ5LfDA,3474,1
